timeStamp,x,y,z,gx,gy,gz
1420650774819,0.27766417288249357,0.39894798974674195,-0.6497056519325822,1.9847932310684584,-1.8007389601776376,8.753350687939301,lying
1420650774870,0.27766417288249357,0.39894798974674195,-0.6497056519325822,1.9847932310684584,-1.8007389601776376,8.753350687939301,lying
1420650774920,1.0323918408494441,0.5648900279017165,-1.6661309851042925,2.9261632684569805,-1.6488567192962391,7.697807396344095,lying
1420650774970,0.38082397524155676,0.1894249310784973,-0.2860152736530639,2.4619874215941873,-1.9955671385391613,9.04484501405796,lying
1420650775020,0.06353541051708161,0.09080283608115278,0.4128421115972101,2.3313539396423844,-2.045246777321631,9.711480630139262,lying
1420650775070,0.6760999570570886,-0.4378876689938828,0.6655603697989135,3.134458739825338,-2.5029881615569813,9.931746817547454,lying
1420650775120,0.6732923522904515,0.1348662698165048,0.08449747059294022,3.4093431640625,-1.859396891718311,9.288155858236038,lying
1420650775170,0.7326926357641815,-0.4208994170529768,0.28488546590553593,3.792864342498779,-2.347215416043065,9.400533561662305,lying
1420650775220,0.957908043077588,-0.5332261118112132,0.7767788110543042,4.421043003082275,-2.3811831520965323,9.763554443182423,lying
1420650775270,-0.5420703663935884,-0.1803314509754069,0.5734868835942819,3.5755905783722177,-1.9506758208786137,9.29593704103101,lying
1420650775320,0.5639649124134332,-0.09803396551162004,-0.0969460332775954,5.2260933843750506,-1.7892168281555174,8.363245518869673,lying
1420650775370,0.3598339403133839,0.3091991470973939,0.44226376518625765,5.472845646844432,-1.3334206140380351,8.64770664928276,lying
1420650775420,1.0705882274486125,0.1218556710686069,-0.2298980852369219,6.713191963604837,-1.4462474860039074,7.636007139056548,lying
1420650775470,1.0705882274486125,0.1218556710686069,-0.2298980852369219,6.713191963604837,-1.4462474860039074,7.636007139056548,lying
1420650775516,0.04426704828236252,0.028902805930271277,-0.8251980471126735,6.10222151785586,-1.449389877966151,6.74356839716807,lying
1420650775570,0.08151083773127757,-0.042648233175184576,-0.7023737776070833,6.421996885294234,-1.389385205708351,6.656628803253174,lying
