timeStamp,alpha,beta,gamma
1420650353944,28.570311100103744,75.06681132943459,-34.877720718595235,standing
1420650353992,28.865313727455042,75.25265978560142,-35.30910186539403,standing
1420650354042,29.035638438321037,75.42182802147903,-35.672543706527954,standing
1420650354092,29.113310589404005,75.61064055947735,-36.0565834287155,standing
1420650354142,29.340856193940244,75.79548639500574,-36.62273299892251,standing
1420650354192,29.601481701216326,75.96376179906667,-37.23236030743709,standing
1420650354242,29.99894004124748,76.12534696793689,-37.95233071836369,standing
1420650354292,30.483253210389663,76.27860467238506,-38.76036674505689,standing
1420650354343,30.904751081544195,76.47363459092317,-39.52953816312875,standing
1420650354392,31.382432807840487,76.6568854875391,-40.348153541364766,standing
1420650354442,31.680673289251946,76.83323971986347,-40.9940076773981,standing
1420650354492,31.680673289251946,76.83323971986347,-40.9940076773981,standing
1420650354542,31.890976926025186,77.04335988360005,-41.58981754632716,standing
1420650354592,32.3609341070266,77.24998144610275,-42.450205062525605,standing
1420650354642,33.037381563904134,77.47412306593972,-43.52103823977617,standing
1420650354692,33.918348729440964,77.6995542399852,-44.789998419690136,standing
1420650354739,34.739752237363135,77.86710156131406,-45.91664872220752,standing
1420650354793,35.5409027701619,78.00948796357925,-46.95598987451838,standing
1420650354843,36.179650289577296,78.13481678282078,-47.764838855702806,standing
1420650354893,36.90773207336633,78.26600301143806,-48.65060497081938,standing
1420650354944,36.90773207336633,78.26600301143806,-48.65060497081938,standing
1420650354994,37.6395675823245,78.37456484484775,-49.524520218596024,standing
1420650355042,38.36363650638471,78.43400380734847,-50.35036707031384,standing
1420650355092,38.91955839753116,78.46749276215728,-50.973397380276026,standing
1420650355142,39.36066797590585,78.501518097857,-51.48284394525637,standing
1420650355192,39.70030326917164,78.51862266788791,-51.85576557912238,standing
1420650355242,40.12818495968066,78.50974731072543,-52.261503733866114,standing
1420650355292,40.560527640635044,78.4863934656154,-52.627588671628295,standing
1420650355342,40.840061431753576,78.44413060973795,-52.82376555325232,standing
1420650355392,40.955241575189824,78.39212092946842,-52.812607342608,standing
1420650355442,40.78786379936752,78.30048065816813,-52.53380729332305,standing
1420650355492,40.599712212896364,78.20895948734268,-52.256726419849606,standing
1420650355542,40.599712212896364,78.20895948734268,-52.256726419849606,standing
1420650355592,40.28307177595153,78.12179018090637,-51.89418558576232,standing
1420650355642,40.05849068749323,77.99867065367522,-51.63063035237265,standing
1420650355692,39.71517550629897,77.85768335615148,-51.187500762724966,standing
1420650355743,39.55200473569873,77.75650441074472,-50.93884895337458,standing
1420650355792,39.31896076490854,77.6685328985978,-50.69156004331198,standing
1420650355842,39.11232712869578,77.58003835540404,-50.49058932890731,standing
1420650355892,38.82090162917323,77.46964538769718,-50.194234330228426,standing
1420650355943,38.563256434582634,77.39627043172902,-49.924615893287765,standing
1420650355993,38.41826526425513,77.33033495390036,-49.75887748055511,standing
1420650356043,38.2692844578384,77.27987902995886,-49.565447735273374,standing
1420650356094,38.2692844578384,77.27987902995886,-49.565447735273374,standing
1420650356142,38.107528353373176,77.24685589391244,-49.34232554217571,standing
1420650356192,37.984615619469345,77.22682106330838,-49.163436318577126,standing
1420650356241,37.829102180557705,77.21307628321402,-48.96292482787244,standing
1420650356288,37.72664864112125,77.19189257163285,-48.79898279337727,standing
1420650356343,37.621542730693854,77.17150331998072,-48.63324022057107,standing
1420650356413,37.50409371863464,77.17202309608325,-48.465176852723445,standing
1420650356441,37.386584938183205,77.17187906409073,-48.29139419029069,standing
1420650356492,37.33568642396561,77.17115840841085,-48.213587546605645,standing
1420650356538,37.16508267219169,77.18865819535958,-48.0206546046041,standing
1420650356591,37.0133245409083,77.1874563436658,-47.86454188543113,standing
1420650356642,36.87679337091631,77.20150613627266,-47.72377965949026,standing
1420650356692,36.87679337091631,77.20150613627266,-47.72377965949026,standing
1420650356741,36.79122513238815,77.21531671465532,-47.64095851565539,standing
1420650356793,36.698969218616675,77.22316612360477,-47.53911947380988,standing
1420650356841,36.52678671498414,77.24330810323403,-47.38416983178306,standing
1420650356892,36.182149005237754,77.245319360053,-47.055896300766385,standing
1420650356942,35.93843396147017,77.24924077270533,-46.825013055383266,standing
1420650356992,35.68529038487463,77.26437896372285,-46.58019773302614,standing
1420650357042,35.3662997199107,77.27946275205727,-46.257844758037116,standing
1420650357093,35.044132984495974,77.28031962120673,-45.95663359514619,standing
1420650357143,34.756346601232096,77.29627354002169,-45.68544329244077,standing
1420650357192,34.756346601232096,77.29627354002169,-45.68544329244077,standing
1420650357242,34.43074432574521,77.29707155354491,-45.37065541943803,standing
1420650357289,34.16799450259013,77.29977216163228,-45.10246550292974,standing
1420650357342,33.91955927326408,77.32537402235697,-44.89310865134814,standing
1420650357392,33.747866803240484,77.34252474356124,-44.777923027432436,standing
1420650357442,33.623973749649736,77.36171696362292,-44.69653376728418,standing
1420650357492,33.49792904307472,77.37936023578247,-44.62660049199335,standing
1420650357542,33.37231269289421,77.40112969817812,-44.561207129500886,standing
1420650357592,33.39327345016483,77.42864075635266,-44.643050751793,standing
1420650357642,33.40515364588702,77.47084352024545,-44.71387830280408,standing
1420650357692,33.40515364588702,77.47084352024545,-44.71387830280408,standing
1420650357742,33.562077905861194,77.56386571851375,-44.947473147583814,standing
1420650357792,33.562077905861194,77.56386571851375,-44.947473147583814,standing
1420650357842,33.71446571516377,77.61378275323052,-45.15143906750624,standing
1420650357892,33.87353188136064,77.65617590359676,-45.35165792874872,standing
1420650357942,34.03647646105113,77.67766935859014,-45.55947967536237,standing
1420650357992,34.24196635599468,77.71209660811587,-45.810268657284404,standing
1420650358043,34.511902341368575,77.71956874471066,-46.08861096380934,standing
1420650358093,34.694212201397455,77.71644336540557,-46.264545365672966,standing
1420650358143,34.93163758458167,77.73635194635528,-46.51183481402951,standing
1420650358193,35.227930338275605,77.72171859650743,-46.815456398235696,standing
1420650358244,35.490108368253615,77.71042523036364,-47.10930704846857,standing
1420650358290,35.490108368253615,77.71042523036364,-47.10930704846857,standing
1420650358343,35.70942109388005,77.71149231234006,-47.34560442271678,standing
1420650358392,36.005764592818615,77.6740050430102,-47.65130966253057,standing
1420650358443,36.27925115187408,77.64446515198541,-47.91282557168576,standing
1420650358492,36.50409243657273,77.61340259141117,-48.11851969564836,standing
